municipality,HEALTH CENTER,HEALTH CENTER/BASIC UNIT,POLYCLINIC,GENERAL HOSPITAL,SPECIALIZED HOSPITAL,MIXED UNIT,GENERAL EMERGENCY,SPECIALIZED EMERGENCY,CONSULTORIO ISOLADO,ISOLATED OFFICE,CLINIC/SPECIALTY CENTER,DIAGNOSIS AND THERAPY SUPPORT UNIT (ISOLATED SADT),UNIDADE MOVEL TERRESTRE,GROUND MOBILE UNIT,PHARMACY,HEALTH SURVEILLANCE UNIT,COOPERATIVE OR COMPANY FOR ASSIGNMENT OF WORKERS IN HEALTH,NORMAL BIRTH CENTER - ISOLATED,HOSPITAL/DAY - ISOLATED,HEALTH SERVICES REGULATION CENTER,LACEN CENTRAL PUBLIC HEALTH LABORATORY,HEALTH MANAGEMENT CENTER,HEMOTHERAPY AND OR HEMATOLOGY CARE CENTER,PSYCHOSOCIAL CARE CENTER,FAMILY HEALTH SUPPORT CENTER,INDIGENOUS HEALTH CARE UNIT,EMERGENCY SERVICE
150034,8,1,-,1,-,-,-,-,-,-,1,1,-,-,-,1,-,-,-,1,-,1,-,1,1,-,-
150040,3,1,-,1,-,-,-,-,-,2,2,-,2,-,-,1,-,-,-,-,-,1,-,1,-,-,-
150050,6,6,-,2,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-
150060,17,12,1,6,-,-,-,1,4,-,7,4,1,-,1,1,-,-,-,1,-,2,-,2,2,-,-
150070,4,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
150080,-,46,3,10,1,-,2,1,13,-,15,18,1,-,-,1,-,-,-,3,-,-,-,1,-,-,-
150085,7,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150090,15,2,-,1,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,1,-,-,1,-,-
150095,4,1,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-
150100,4,3,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
150110,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
150120,12,1,-,1,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,1,-,1,-,-,-,-,-
150125,4,1,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
150130,19,5,1,3,-,2,-,-,15,-,7,-,-,-,1,1,-,-,-,-,-,2,-,1,-,-,-
150140,5,73,15,18,22,-,-,2,928,-,276,67,14,2,3,1,1,-,2,2,1,4,1,9,-,-,-
150145,8,1,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-
150150,13,3,-,1,-,-,-,-,-,-,1,1,-,-,-,1,-,-,-,1,-,-,-,1,-,-,-
150157,3,2,-,1,-,-,-,-,-,-,1,-,-,-,-,2,-,-,-,1,-,-,-,-,-,-,-
150160,4,2,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-
150170,9,11,-,3,-,-,-,-,5,-,3,2,-,-,-,1,-,-,-,1,-,-,-,1,-,-,-
150172,2,5,-,1,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-
150175,7,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
150178,7,5,-,1,-,1,-,-,-,-,-,2,-,-,-,2,-,-,-,1,-,1,-,1,-,-,-
150180,25,7,-,1,-,-,-,-,1,-,-,-,-,-,1,1,-,-,-,-,-,1,-,1,-,-,-
