municipality,HEALTH CENTER,HEALTH CENTER/BASIC UNIT,POLYCLINIC,GENERAL HOSPITAL,SPECIALIZED HOSPITAL,MIXED UNIT,GENERAL EMERGENCY,SPECIALIZED EMERGENCY,CONSULTORIO ISOLADO,ISOLATED OFFICE,CLINIC/SPECIALTY CENTER,DIAGNOSIS AND THERAPY SUPPORT UNIT (ISOLATED SADT),UNIDADE MOVEL TERRESTRE,GROUND MOBILE UNIT,PHARMACY,HEALTH SURVEILLANCE UNIT,COOPERATIVE OR COMPANY FOR ASSIGNMENT OF WORKERS IN HEALTH,NORMAL BIRTH CENTER - ISOLATED,HOSPITAL/DAY - ISOLATED,HEALTH SERVICES REGULATION CENTER,LACEN CENTRAL PUBLIC HEALTH LABORATORY,HEALTH MANAGEMENT CENTER,HEMOTHERAPY AND OR HEMATOLOGY CARE CENTER,PSYCHOSOCIAL CARE CENTER,FAMILY HEALTH SUPPORT CENTER,INDIGENOUS HEALTH CARE UNIT,EMERGENCY SERVICE
412750,9,5,-,1,-,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
412760,3,5,-,1,-,-,-,-,2,-,1,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
412770,7,12,-,3,-,-,-,-,236,-,35,33,1,-,1,1,-,-,1,-,-,1,-,2,-,-,-
412780,4,1,-,1,-,-,-,-,7,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
412785,2,1,-,1,-,-,-,-,1,-,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
412788,-,2,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
412790,4,1,-,1,-,-,-,-,5,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
412795,-,4,-,2,-,-,-,-,7,-,-,3,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
412796,17,4,-,1,-,-,-,-,1,-,3,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
412800,2,4,-,3,-,-,-,-,15,-,10,6,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-
412810,4,21,-,3,1,-,1,-,183,-,74,5,-,-,1,-,-,-,1,-,-,1,1,-,1,-,-
412820,16,10,16,2,1,-,-,-,94,-,6,10,-,-,-,2,-,-,-,-,-,1,1,1,-,-,-
412830,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
412840,2,1,1,1,-,-,-,-,4,-,3,3,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
412850,8,2,-,1,-,-,-,-,4,-,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
412853,2,2,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
412855,3,1,-,1,-,-,-,-,6,-,3,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
412860,6,2,-,1,-,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
412862,1,1,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
412863,3,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
412865,-,1,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
412870,-,1,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
412880,3,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
420005,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
420010,-,5,-,1,-,-,-,-,8,-,4,3,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-
420020,1,1,-,1,-,-,-,-,4,-,1,2,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
420030,-,2,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
420040,-,2,-,1,-,-,-,-,6,-,2,2,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
420050,-,2,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
420055,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
420060,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
420070,1,3,1,1,-,-,-,-,4,-,1,2,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
420075,2,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-
420080,-,1,-,1,-,-,-,-,3,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
420090,2,2,-,1,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
420100,2,1,-,1,-,-,-,-,7,-,3,2,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
420110,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
420120,-,1,-,-,-,-,-,-,2,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
420125,4,1,-,-,-,-,-,-,2,-,1,1,2,-,-,-,-,-,-,-,-,1,-,-,-,-,-
420127,3,1,-,1,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
420130,3,4,-,-,-,1,-,-,1,-,2,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
420140,2,21,4,1,-,-,-,-,85,-,28,10,-,1,1,-,-,-,-,-,-,2,-,1,-,-,-
420150,1,2,-,1,-,-,-,-,-,-,2,3,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
420160,1,1,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
420165,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
420170,-,2,-,-,-,-,-,-,4,-,1,2,-,-,4,-,-,-,-,-,-,1,-,-,-,-,-
420180,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
420190,-,1,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
420195,-,4,-,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
420200,-,9,7,5,-,-,-,-,363,-,46,27,1,2,-,2,-,-,-,1,-,1,-,1,-,-,-
420205,-,4,-,-,-,-,-,-,1,-,-,2,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
420207,-,5,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
420208,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
420209,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
420210,-,8,-,-,-,-,-,-,9,-,3,2,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1
420213,3,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
420215,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
420220,-,4,-,1,-,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
420230,5,10,4,-,-,-,-,-,7,-,5,4,-,1,-,-,-,-,-,-,-,1,-,-,-,-,1
420240,-,66,4,4,-,-,1,-,491,-,106,47,-,3,-,-,-,-,6,-,-,2,-,3,-,-,-
420243,-,1,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
420245,-,4,-,-,-,-,-,-,2,-,1,1,-,1,-,-,-,-,-,-,-,1,-,-,-,-,1
420250,2,1,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
420253,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
420257,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
420260,3,2,-,1,-,-,-,-,9,-,1,2,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
420270,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
420280,-,10,-,2,-,-,-,-,17,-,3,5,-,1,-,1,-,-,-,-,-,2,-,-,-,-,-
420285,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
420287,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
420290,2,19,1,3,-,-,-,-,123,-,48,46,-,2,-,-,1,-,-,-,-,2,-,1,-,-,-
420300,11,3,3,2,-,-,-,-,72,-,14,2,1,-,-,-,-,-,-,-,-,2,-,2,-,-,1
420310,-,3,-,1,-,-,-,-,7,-,2,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
420315,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
420320,-,9,-,1,-,-,-,-,11,-,5,3,-,2,1,1,-,-,-,-,-,1,-,1,-,-,-
420325,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
420330,-,5,1,1,-,-,-,-,9,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-
420340,2,1,-,1,-,-,-,-,3,-,2,2,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-
420350,3,1,-,2,-,-,-,-,5,-,3,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
420360,2,10,-,1,-,-,-,-,43,-,3,6,-,-,-,-,-,-,-,-,-,2,-,1,-,-,-
420370,-,7,-,1,-,-,-,-,2,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
420380,17,2,1,1,-,-,1,-,66,-,11,11,2,2,-,1,-,-,-,-,-,2,-,1,-,-,-
420390,-,7,-,2,-,-,-,-,30,-,4,4,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-
420395,-,9,-,-,-,-,1,-,5,-,2,5,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
420400,4,1,1,1,-,-,-,-,4,-,4,1,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-
420410,-,1,-,1,-,-,-,-,2,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
420415,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
420417,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
420419,1,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
420420,4,27,2,2,1,-,1,-,357,-,85,28,3,2,1,-,-,-,1,-,-,2,-,3,-,-,2
420425,-,7,-,-,-,-,-,-,2,-,7,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-
420430,17,11,2,1,-,-,-,-,89,-,19,11,-,-,-,1,-,-,-,-,-,2,-,1,-,-,-
420435,-,2,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
420440,-,3,-,1,-,-,-,-,8,-,-,2,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
420445,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
420450,2,4,-,-,-,-,-,-,14,-,2,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1
420455,2,2,-,1,-,-,-,-,9,-,-,2,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
420460,9,39,-,2,3,-,-,-,256,-,86,21,-,-,-,1,-,-,-,1,-,2,-,3,-,-,-
420470,-,2,-,1,-,-,-,-,13,-,3,5,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-
420475,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
420480,1,10,2,1,-,-,-,-,69,-,11,2,-,1,-,1,-,-,-,-,-,2,-,1,-,-,-
420490,-,2,-,1,-,-,-,-,7,-,1,2,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
420500,-,7,3,1,-,-,-,-,9,-,1,-,1,1,-,-,-,-,-,-,1,2,-,1,-,-,-
420510,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
420515,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
420517,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,2,-
420519,1,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
420520,-,1,-,1,-,-,-,-,1,-,-,2,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
420530,-,5,-,1,-,-,-,-,10,-,2,2,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
420535,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
420540,-,49,27,12,9,-,1,3,388,-,290,81,1,1,3,3,1,-,9,6,1,7,-,4,-,-,2
420543,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
420545,4,8,1,-,-,-,-,-,2,-,1,2,-,-,-,1,-,-,-,-,-,1,-,1,-,-,-
420550,-,5,3,1,-,-,-,-,38,-,14,-,1,-,-,-,-,-,-,-,-,1,-,1,-,-,-
420555,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
420560,-,1,-,-,-,-,-,-,2,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
420570,8,6,-,-,-,-,-,-,4,-,3,1,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-
420580,-,4,-,-,-,-,-,-,5,-,1,2,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1
420590,2,9,3,1,-,-,-,-,30,-,12,5,-,-,-,-,-,-,-,-,-,1,-,1,1,-,-
420600,3,4,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
420610,1,1,-,-,-,-,-,-,1,-,2,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
420620,-,5,-,-,-,-,-,-,1,-,2,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
420630,5,-,1,1,-,-,-,-,5,-,-,4,-,-,2,-,-,-,-,-,-,1,-,-,-,-,-
420640,-,2,-,1,-,-,-,-,14,-,1,2,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
420650,-,9,-,1,-,-,-,-,24,-,2,3,-,1,8,-,-,-,-,-,-,1,-,-,-,-,-
420660,-,2,-,1,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
420665,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
420670,7,1,1,-,-,-,-,-,3,-,2,1,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-
420675,-,1,-,-,-,-,-,-,2,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
420680,-,1,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-
420690,-,7,1,1,-,-,-,-,18,-,5,2,1,-,-,1,-,-,-,-,-,2,-,1,-,-,-
420700,-,29,1,2,-,-,-,-,20,-,12,4,-,-,1,-,-,-,-,-,-,1,-,1,-,-,-
420710,4,1,-,-,-,-,-,-,2,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
420720,-,5,-,1,-,-,-,-,8,-,1,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
420730,-,28,-,1,-,-,-,-,45,-,11,7,-,-,-,1,-,-,-,-,-,1,-,1,-,-,-
420740,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
420750,1,12,1,1,-,-,-,-,54,-,13,4,-,2,-,-,-,-,-,-,-,1,-,1,-,-,-
420757,1,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
420760,3,1,-,1,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
420765,-,2,1,1,-,-,-,-,8,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
420768,2,2,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
420770,5,-,-,1,-,1,-,-,6,-,-,2,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
420775,1,1,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
420780,-,3,3,1,-,-,-,-,4,-,2,3,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
420785,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
420790,4,1,-,1,-,-,-,-,1,-,1,1,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-
420800,2,2,-,1,-,-,-,-,6,-,1,2,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-
420810,-,8,-,1,-,-,-,-,12,-,4,1,-,1,-,-,-,-,-,-,-,1,-,1,-,-,-
420820,1,26,3,1,1,-,-,-,341,-,78,31,1,2,1,-,-,-,-,1,-,2,-,3,-,-,1
420830,-,8,1,1,-,-,1,-,29,-,16,9,-,1,-,2,-,-,-,-,-,1,-,1,1,-,-
420840,-,6,-,1,-,-,-,-,12,-,3,3,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-
420845,-,5,-,-,-,-,-,-,2,-,2,2,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1
420850,-,8,1,1,-,-,-,-,11,-,3,3,-,2,-,1,-,-,-,-,-,2,-,-,-,-,-
420860,1,1,-,1,-,-,-,-,3,-,1,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
420870,3,3,-,1,-,-,-,-,9,-,2,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
420880,3,5,-,1,-,-,-,-,10,-,1,3,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
420890,9,12,26,2,-,-,-,-,320,-,37,10,-,2,2,1,1,-,-,-,-,2,-,1,-,-,-
420895,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
420900,2,8,-,2,-,-,-,-,104,-,61,9,-,1,-,-,1,-,-,-,-,2,-,1,-,-,-
420910,-,62,13,6,1,-,-,-,505,-,225,117,3,8,1,1,-,-,2,-,-,2,1,4,-,-,3
420915,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
420917,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
420920,-,2,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
420930,-,29,3,2,1,2,1,1,332,-,43,45,1,1,1,2,-,-,-,-,-,2,-,3,-,-,-
420940,-,14,3,1,-,-,-,-,27,-,8,7,-,2,-,2,-,-,-,-,-,2,-,1,-,-,-
420945,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
420950,-,1,-,-,-,-,-,-,4,-,-,2,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
420960,-,6,1,1,-,-,-,-,4,-,5,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
420970,3,1,-,1,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
420980,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
420985,-,1,-,1,-,-,-,-,3,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-
420990,-,1,-,-,-,-,-,-,3,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
421000,-,6,-,1,-,-,-,-,6,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
421003,-,2,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
421005,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
421010,12,2,1,1,1,-,1,-,32,-,14,5,-,1,-,-,-,-,1,-,-,2,-,1,-,-,-
421020,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
421030,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
421040,2,2,-,-,-,-,-,-,1,-,2,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
421050,-,5,-,1,-,-,-,-,27,-,3,6,-,1,-,-,-,-,-,-,-,2,-,1,-,-,-
421055,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
421060,-,4,1,-,-,-,1,-,13,-,2,2,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-
421070,1,1,-,1,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-
421080,5,1,-,1,-,-,-,-,3,-,4,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
421085,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
421090,-,1,-,1,-,-,-,-,1,-,1,2,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-
421100,1,3,-,1,-,-,-,-,4,-,5,2,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
421105,-,4,-,-,-,1,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
421110,-,4,-,1,-,-,-,-,2,-,2,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
421120,6,4,-,1,-,-,-,-,2,-,2,2,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1
421125,1,2,-,-,-,-,-,-,1,-,-,2,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
421130,-,19,-,1,-,-,-,-,31,-,15,5,-,1,-,1,-,-,-,1,-,1,-,1,-,-,-
421140,-,1,-,1,-,-,-,-,2,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
421145,-,1,-,-,-,-,-,-,3,-,1,1,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-
421150,-,5,-,1,-,-,-,-,5,-,2,2,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-
421160,6,4,-,1,-,-,-,-,5,-,7,-,-,-,-,1,-,-,1,-,-,1,-,-,-,-,-
421165,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
421170,-,10,2,1,-,-,-,-,7,-,9,4,-,1,-,1,-,-,-,-,-,1,-,1,-,-,-
421175,2,3,1,1,-,-,-,-,7,-,3,4,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
421180,-,3,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
421185,-,1,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
421187,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
421189,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
421190,-,19,1,2,-,-,1,-,10,-,8,7,-,1,-,-,-,-,-,-,-,1,-,1,-,-,-
421200,-,1,-,1,-,-,-,-,8,-,1,1,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-
421205,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
421210,3,2,-,1,-,-,-,-,11,-,2,3,-,-,-,-,-,-,-,-,-,2,-,1,-,-,-
421220,5,1,1,1,-,-,-,-,11,-,1,-,-,1,-,1,-,-,-,-,-,1,-,1,-,-,-
421223,-,1,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
421225,1,2,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
421227,3,1,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
421230,2,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
421240,6,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
421250,2,8,-,1,-,-,-,-,14,-,1,2,-,-,-,1,-,-,1,-,-,1,-,-,-,-,-
421260,1,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
421265,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
421270,4,1,-,1,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
421280,-,6,-,-,-,-,-,-,23,-,1,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
421290,-,3,-,1,-,-,-,-,44,-,3,2,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-
421300,-,1,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
421310,1,1,-,-,-,-,-,-,1,-,1,1,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-
421315,-,1,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
421320,-,8,2,1,-,-,-,-,11,-,9,3,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
421330,3,1,-,1,-,-,-,-,2,-,1,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
421335,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
421340,2,1,-,1,-,-,-,-,5,-,4,4,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-
421350,1,7,1,-,-,-,-,-,4,-,2,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
421360,5,6,1,1,-,-,-,-,47,-,4,2,-,1,-,-,-,-,-,-,-,1,-,1,-,-,1
421370,-,5,-,1,-,-,-,-,5,-,2,2,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-
421380,1,2,-,1,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
421390,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-
421400,-,7,-,1,-,-,-,-,11,-,2,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
421410,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
421415,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
421420,2,2,-,1,-,-,-,-,6,-,2,3,-,1,-,-,-,-,-,-,-,1,-,1,-,-,-
421430,1,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-
