municipality,ch_01,ch_02,ch_03,ch_04,ch_05,ch_06,ch_07,ch_08,ch_09,ch_10,ch_11,ch_12,ch_13,ch_14,ch_15,ch_16,ch_17,ch_18,ch_20
351685,2,5,-,3,-,-,-,-,5,3,2,-,1,2,-,-,-,8,-
351690,3,13,-,2,2,1,-,-,24,6,9,-,-,2,-,1,-,9,12
351700,3,9,2,7,2,1,-,-,22,13,3,-,-,2,-,1,2,9,4
351710,2,8,1,1,-,-,-,-,9,1,2,-,-,-,-,1,1,3,3
351720,5,14,-,2,-,1,-,-,19,10,3,-,-,-,-,-,1,12,12
351730,-,12,1,3,-,-,-,-,15,5,-,-,1,-,-,-,-,2,2
351740,17,43,1,7,2,6,-,-,68,30,11,1,2,3,-,3,-,15,20
351750,4,13,-,5,-,2,-,-,35,23,7,-,3,4,1,2,-,6,4
351760,6,23,-,9,1,3,-,-,46,21,9,-,-,3,1,1,1,8,17
351770,6,16,1,7,-,2,-,-,32,8,6,1,-,8,1,3,-,35,11
351780,2,5,-,2,-,1,-,-,20,8,2,-,-,1,-,-,-,6,4
351790,-,5,-,1,-,1,-,-,19,10,4,-,-,3,-,-,-,8,6
351800,-,2,-,-,-,-,-,-,4,1,1,-,-,1,-,1,-,4,1
351810,2,6,-,4,-,1,-,-,15,2,-,1,1,2,-,-,-,6,5
351820,4,43,5,20,3,9,-,-,65,37,14,2,1,5,-,4,-,18,22
351830,8,31,3,20,1,2,-,-,31,29,12,-,1,2,-,-,3,26,15
351840,30,120,5,39,8,17,-,-,233,91,41,3,9,27,1,14,5,134,77
351850,1,13,-,4,-,1,-,-,25,16,5,-,-,1,-,1,-,3,5
351860,6,32,3,10,-,3,-,-,47,17,8,1,-,6,-,2,2,21,21
351870,104,273,7,130,11,31,-,-,696,239,114,6,4,35,5,57,17,44,187
351880,284,1108,33,270,34,129,-,-,2298,902,424,19,28,140,9,148,76,58,767
351885,2,10,1,1,-,1,-,-,10,3,3,-,-,2,-,-,-,7,10
351890,1,4,-,4,-,1,-,-,5,3,-,-,-,1,-,-,-,3,4
351900,-,11,-,6,-,-,-,-,16,7,5,-,-,1,-,-,-,11,6
351905,2,13,-,2,1,-,-,-,12,5,2,-,-,-,-,1,1,7,9
351907,44,152,6,68,11,26,-,-,270,90,52,6,9,29,2,13,5,63,100
351910,2,18,-,1,1,2,-,-,17,11,7,-,-,-,-,1,-,3,4
351920,1,7,-,3,-,-,-,-,12,2,1,1,-,2,-,2,1,6,3
351925,4,5,-,2,-,-,-,-,4,-,1,-,-,1,-,-,-,5,1
351930,8,27,3,6,3,2,-,-,41,20,11,-,-,1,-,3,2,18,23
351940,2,13,-,3,-,1,-,-,18,22,5,-,1,2,-,2,-,15,6
351950,2,5,1,8,-,1,-,-,12,6,1,-,-,1,-,1,-,24,2
351960,13,53,3,32,2,10,-,-,144,55,27,-,1,11,-,7,4,23,25
351970,20,43,3,27,7,6,-,-,105,39,19,2,1,14,2,10,5,85,81
351980,4,12,-,4,-,2,-,-,14,10,3,-,-,1,-,1,2,-,8
351990,1,12,-,2,1,2,-,-,23,4,2,-,-,3,-,1,-,4,2
352000,9,34,1,10,3,5,-,-,58,21,7,1,-,3,-,2,1,20,17
352010,4,12,-,12,-,4,-,-,67,22,7,-,-,2,-,2,-,38,16
352020,2,9,-,3,-,1,-,-,21,6,4,-,-,-,-,-,-,9,5
352030,9,43,3,14,1,3,-,-,61,22,14,-,1,10,-,3,1,28,19
352040,7,31,1,8,1,6,-,-,38,14,5,-,1,4,-,3,2,21,8
352042,1,6,-,5,-,-,-,-,18,16,4,-,-,2,-,1,1,6,7
352044,3,22,2,9,3,4,-,-,40,12,9,-,2,3,-,1,-,13,13
352050,34,209,8,70,8,24,-,-,313,192,57,-,3,37,2,18,6,16,100
352060,-,6,1,1,1,1,-,-,15,5,2,-,1,3,-,-,1,4,1
352070,2,2,-,1,-,1,-,-,6,5,2,-,-,-,-,1,-,3,2
352080,-,8,-,1,1,1,-,-,4,1,2,-,-,1,-,-,-,3,6
352090,2,21,1,12,1,2,-,-,37,6,4,-,-,1,-,-,-,9,6
352100,6,18,-,5,1,2,-,-,22,9,7,-,1,1,-,4,1,30,20
352110,1,-,-,-,-,1,-,-,7,4,1,1,-,1,-,1,-,9,7
352115,2,11,-,1,-,2,-,-,5,3,-,-,1,1,-,-,-,4,2
352120,1,3,-,4,-,1,-,-,6,2,3,-,-,-,-,-,-,4,1
352130,-,6,-,5,-,-,-,-,29,10,6,-,-,5,-,1,1,10,7
352140,4,17,1,7,1,4,-,-,25,19,8,-,-,-,-,3,1,9,9
352150,1,13,-,4,-,-,-,-,26,7,2,-,-,1,-,-,1,1,5
352160,4,7,-,3,-,3,-,-,13,5,2,-,1,6,-,1,1,11,4
352170,4,14,2,6,-,2,-,-,17,18,4,-,-,-,-,2,1,38,11
352180,6,22,2,10,-,-,-,-,48,19,7,-,-,-,-,2,-,24,13
352190,4,13,-,3,-,7,-,-,33,10,4,2,-,6,-,2,-,5,7
352200,-,6,-,1,-,1,-,-,7,2,-,-,-,-,-,-,-,7,2
352210,35,109,4,54,9,16,-,-,206,76,41,-,-,9,-,12,3,30,79
352215,-,-,1,2,1,-,-,-,7,2,1,-,-,1,-,2,-,3,1
352220,40,149,8,33,9,22,-,-,338,122,54,5,3,18,-,16,9,16,96
352230,41,140,5,52,5,21,-,-,234,116,47,1,3,32,2,20,6,145,85
352240,22,77,1,28,2,11,-,-,131,70,31,2,3,22,-,19,5,128,65
352250,40,144,4,51,2,16,-,-,336,139,61,2,10,13,2,24,15,26,128
352260,23,110,3,36,10,20,-,1,177,75,45,-,1,21,1,4,2,27,34
352265,-,1,-,1,-,-,-,-,6,1,-,-,-,-,-,2,-,3,2
352270,9,44,-,7,3,7,-,-,83,63,12,1,-,7,-,3,-,30,30
352280,8,13,-,6,-,1,-,-,30,10,3,1,-,8,-,-,-,23,8
352290,3,6,1,5,1,2,-,-,23,14,4,-,-,1,-,1,-,14,7
352300,-,4,-,1,-,-,-,-,5,3,-,-,-,-,-,1,-,2,-
352310,46,195,7,69,5,21,-,1,315,143,69,4,3,24,3,43,12,293,184
352320,11,46,1,36,11,5,-,-,121,31,18,1,1,11,-,4,3,16,19
352330,3,11,-,5,2,-,-,-,18,11,4,-,-,1,-,2,2,4,7
352340,16,115,1,24,1,25,-,-,199,98,25,2,-,24,-,9,2,25,55
352350,5,20,1,9,2,6,-,-,35,11,9,-,-,2,1,4,2,2,8
352360,4,12,-,4,-,1,-,-,20,6,4,1,-,2,-,2,1,16,6
352370,-,7,1,2,-,2,-,-,6,2,1,-,-,1,-,-,1,5,1
352380,3,11,-,6,-,1,-,-,20,11,4,-,-,1,-,1,-,7,3
352390,55,158,6,59,26,34,-,-,272,139,43,4,12,28,-,14,7,19,83
352400,5,35,2,8,-,5,-,-,70,21,13,-,1,3,-,6,1,7,27
352410,14,48,2,20,1,2,-,-,62,42,20,1,-,16,-,2,1,33,16
352420,2,6,1,3,-,-,-,-,18,3,3,1,-,-,-,1,-,4,-
352430,35,92,1,45,23,13,-,-,189,72,27,3,1,15,1,6,3,15,48
352440,59,201,6,60,5,20,-,-,304,135,72,6,4,50,2,15,11,241,119
352450,4,4,-,-,1,-,-,-,6,6,2,-,-,-,-,-,-,1,3
352460,4,16,1,8,1,-,-,-,39,20,7,1,1,3,-,1,-,5,10
352470,9,50,-,5,5,7,-,-,66,32,17,-,2,10,-,4,1,8,30
352480,8,65,4,22,1,8,-,-,110,32,22,-,1,8,-,2,4,52,33
352490,-,3,-,2,-,1,-,-,4,1,1,-,-,-,-,-,-,10,1
352500,18,55,5,20,3,9,-,-,153,61,26,1,2,8,1,13,4,14,40
352510,6,45,3,13,3,12,-,-,80,23,13,2,2,6,-,4,1,13,20
352520,5,17,1,5,-,1,-,-,53,20,8,2,-,2,-,2,1,5,17
352530,45,177,5,46,2,29,-,-,231,111,45,7,3,26,-,12,5,185,72
352540,-,4,1,-,-,-,-,-,7,2,2,-,-,-,-,-,-,5,1
352550,-,16,-,7,-,-,-,-,37,11,5,-,1,2,-,1,-,5,11
352560,1,8,-,-,-,-,-,-,8,3,1,-,-,1,-,2,1,1,1
352570,7,41,-,12,2,2,-,-,69,35,9,-,1,4,-,3,1,12,22
352580,2,2,-,-,-,-,-,-,5,2,1,-,-,-,-,1,-,10,3
352585,-,4,-,1,-,1,-,-,4,1,1,-,-,-,-,-,-,-,1
352590,69,604,10,66,16,83,-,-,745,300,143,15,12,67,4,35,15,24,168
352600,4,18,1,7,1,2,-,-,48,17,5,1,2,6,-,1,3,22,14
352610,7,28,-,14,2,1,-,-,33,13,14,-,1,5,-,4,-,10,18
352620,6,29,1,4,-,2,-,-,67,25,11,1,-,2,-,1,-,6,40
352630,3,6,-,2,1,1,-,-,12,5,-,1,-,1,-,1,-,2,6
352640,1,17,3,11,5,8,-,-,57,30,13,-,1,5,-,2,1,11,16
352650,5,7,-,3,-,-,-,-,6,8,2,-,-,1,-,-,-,6,7
352660,-,7,-,-,-,1,-,-,9,6,2,-,-,-,-,1,-,4,2
352670,34,112,7,20,3,13,-,-,140,89,36,3,-,24,2,10,4,87,62
352680,18,47,3,18,1,4,-,-,105,54,21,-,1,18,-,3,5,59,24
352690,74,318,10,65,4,81,-,-,502,206,115,8,5,43,1,30,4,207,137
352700,1,12,1,7,-,-,-,-,11,5,2,1,-,1,-,-,-,-,5
352710,19,91,1,23,4,17,-,-,132,124,32,3,1,14,-,12,5,83,46
352720,30,101,3,37,5,20,-,-,162,83,38,1,-,13,-,4,4,85,49
352725,1,2,-,-,1,1,-,-,5,-,-,-,-,2,-,-,-,7,1
352730,6,39,1,7,1,4,-,-,58,20,7,1,2,5,-,5,1,3,12
352740,4,21,-,10,4,3,-,-,52,10,6,1,1,2,-,-,1,17,8
352750,-,1,-,1,-,-,-,-,4,-,2,-,-,1,-,-,-,3,4
352760,2,10,-,-,-,1,-,-,15,3,2,-,-,2,-,-,-,-,2
352770,1,4,-,5,1,2,-,-,12,1,3,-,-,-,-,1,-,9,2
352780,1,4,-,2,-,1,-,-,10,7,1,-,1,-,-,-,-,2,4
352790,-,1,-,2,-,-,-,-,8,1,1,-,-,-,-,1,-,4,1
352800,4,19,-,7,1,2,-,-,32,4,6,1,-,3,-,2,-,14,8
352810,1,6,-,7,1,-,-,-,20,6,5,-,-,5,-,1,-,1,8
352820,1,6,-,-,-,2,-,-,7,1,3,-,-,3,-,-,-,2,1
352830,1,4,-,1,-,1,-,-,15,4,-,-,-,-,-,-,-,2,-
352840,8,44,1,8,3,7,-,-,57,28,11,-,2,3,-,5,1,34,28
352850,13,74,1,24,4,6,-,-,156,62,17,1,1,18,-,5,7,9,52
352860,3,7,1,4,1,1,-,-,13,3,2,-,-,1,-,3,-,10,7
352870,2,-,-,1,-,-,-,-,7,1,-,-,-,-,-,-,-,8,-
352880,3,20,1,5,-,-,-,-,29,18,2,-,2,2,-,-,-,8,7
352885,-,1,-,-,1,-,-,-,9,1,-,-,-,-,-,-,-,3,-
352890,1,4,-,5,-,-,-,-,9,8,4,-,1,-,-,-,-,3,1
352900,63,255,8,67,21,44,-,-,420,176,73,5,8,36,1,18,9,119,117
352910,-,3,-,1,-,-,-,-,6,1,1,-,-,1,-,-,-,4,1
352920,8,29,1,13,3,10,-,-,52,14,9,1,-,3,-,1,1,25,13
352930,11,98,2,26,6,13,-,-,155,72,32,-,3,11,1,10,3,48,35
352940,88,300,5,107,12,45,-,-,671,320,147,13,10,49,1,63,30,37,184
352950,1,7,-,3,2,2,-,-,8,4,2,-,2,-,-,-,-,1,2
352960,1,3,-,-,-,1,-,-,15,3,5,-,-,-,-,1,-,1,3
352965,-,2,-,-,-,-,-,-,4,2,1,-,1,1,-,-,1,2,1
352970,1,20,3,7,2,2,-,-,44,21,9,-,-,3,-,1,1,15,11
352980,4,18,-,8,-,3,-,-,35,18,5,-,-,1,-,1,-,4,6
352990,4,22,-,13,4,2,-,-,25,18,4,1,1,1,-,8,-,19,17
353000,-,2,-,1,1,-,-,-,10,3,4,-,-,-,-,-,-,2,5
353010,3,43,4,8,1,6,-,-,61,29,5,1,-,4,-,3,-,35,18
353020,3,12,1,4,1,3,-,-,31,16,8,-,-,7,-,2,-,13,8
353030,17,62,7,21,1,6,-,-,120,71,22,-,1,16,-,5,3,28,31
353040,3,5,1,2,-,1,-,-,13,7,3,-,-,-,-,-,-,1,3
353050,15,86,-,32,7,23,1,-,167,54,35,1,-,11,-,3,6,37,29
353060,59,427,14,131,23,53,-,-,859,282,172,5,18,76,6,57,15,41,180
