municipality,HEALTH CENTER,HEALTH CENTER/BASIC UNIT,POLYCLINIC,GENERAL HOSPITAL,SPECIALIZED HOSPITAL,MIXED UNIT,GENERAL EMERGENCY,SPECIALIZED EMERGENCY,ISOLATED OFFICE,RIVER MOBILE UNIT,CLINIC/SPECIALTY CENTER,DIAGNOSIS AND THERAPY SUPPORT UNIT (ISOLATED SADT),GROUND MOBILE UNIT,PRE-HOSPITAL LEVEL MOBILE UNIT IN THE EMERGENCY AREA,PHARMACY,HEALTH SURVEILLANCE UNIT,COOPERATIVE OR COMPANY FOR ASSIGNMENT OF WORKERS IN HEALTH,NORMAL BIRTH CENTER - ISOLATED,HOSPITAL/DAY - ISOLATED,HEALTH SERVICES REGULATION CENTER,LACEN CENTRAL PUBLIC HEALTH LABORATORY,HEALTH MANAGEMENT CENTER,HEMOTHERAPY AND OR HEMATOLOGY CARE CENTER,PSYCHOSOCIAL CARE CENTER,FAMILY HEALTH SUPPORT CENTER,INDIGENOUS HEALTH CARE UNIT,EMERGENCY SERVICE,HEALTH ACADEMY POLO,TELESSAUDE,EMERGENCY MEDICAL REGULATION CENTER,ISOLATED HOME CARE SERVICE,CARE UNIT IN RESIDENTIAL REGIME,ORTHOPEDIC WORKSHOP,PUBLIC HEALTH LABORATORY,ACCESS REGULATION CENTER,NOTIFICATION CENTER FOR CAPTATION AND DISTRIBUTION OF STATE ORGANIZATIONS,POLO FOR PREVENTION OF DISEASES AND DISEASES AND HEALTH PROMOTION,SUPPLY CENTER,IMMUNIZATION CENTER
412360,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
412370,-,3,-,1,-,-,-,-,4,-,1,4,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
412380,-,6,-,1,-,-,-,-,5,-,5,3,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-
412382,-,2,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
412385,4,2,-,1,-,-,-,-,2,-,1,1,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
412390,5,-,-,1,-,-,-,-,4,-,1,6,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
412395,1,1,-,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
412402,2,3,-,-,-,-,-,-,-,-,3,1,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
412405,3,3,-,-,-,-,-,-,10,-,1,8,-,1,-,1,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
412400,-,2,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
412410,3,9,-,2,-,-,1,-,92,-,29,11,1,1,-,1,-,-,1,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
412420,-,1,-,1,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
412430,-,1,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
412440,9,1,-,1,-,-,-,-,11,-,1,6,-,1,4,-,-,-,-,-,-,1,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
412450,1,1,-,-,-,-,-,-,3,-,1,-,-,-,-,-,2,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
412460,-,1,-,1,-,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
412470,3,2,-,1,-,-,-,-,1,-,2,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
412480,1,3,-,-,-,-,1,-,12,-,1,12,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
412490,-,2,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
412500,3,2,-,1,-,-,-,-,4,-,2,3,-,1,2,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
412510,10,2,-,1,-,-,-,-,4,-,1,2,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
412520,1,3,-,1,-,-,-,-,3,-,1,4,-,-,1,-,-,-,-,-,-,1,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-
412530,-,2,-,-,-,-,-,-,2,-,1,2,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
412535,3,2,-,1,-,-,-,-,5,-,2,2,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
412540,1,3,-,1,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
412545,-,1,-,1,-,-,-,-,-,-,-,2,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
412550,1,27,76,2,-,-,-,-,305,-,5,37,-,6,2,-,-,-,1,-,-,1,-,3,-,-,1,-,-,1,1,-,-,-,-,-,-,-,-
412555,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
412560,2,23,3,1,-,-,-,-,54,-,3,9,-,-,1,-,-,-,-,-,-,1,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
412570,10,2,-,2,-,-,-,-,13,-,13,4,-,1,1,1,-,-,-,-,-,1,-,1,-,1,-,2,-,-,-,-,-,-,-,-,-,-,-
412575,-,5,-,-,-,-,-,-,1,-,3,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
412580,2,2,-,1,-,-,-,-,10,-,2,3,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
412590,-,3,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
412600,-,2,-,-,-,1,-,-,2,-,1,3,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
412610,-,1,-,-,-,-,-,-,1,-,3,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
412620,3,1,-,1,-,-,-,-,3,-,1,1,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
412625,1,10,2,1,-,-,-,-,41,-,9,14,-,1,2,1,-,-,-,-,-,1,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
412627,1,1,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
412630,2,2,-,-,-,-,1,-,5,-,1,3,-,-,2,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
412635,-,2,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
412640,-,3,-,1,-,-,-,-,3,-,1,2,-,1,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
412650,-,3,2,1,-,-,-,-,14,-,4,2,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
412660,1,9,-,1,-,-,-,-,25,-,-,5,-,1,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
412665,1,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
412667,3,3,1,1,-,-,-,-,4,-,1,1,-,1,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
412670,-,2,-,1,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
412680,3,4,1,-,-,-,-,-,8,-,1,6,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
412690,3,2,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-
412700,7,2,-,1,-,-,-,-,3,-,1,2,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
412710,2,18,2,3,-,-,-,-,128,-,6,16,-,-,4,-,-,1,-,-,-,2,1,1,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-
412720,1,3,-,2,-,-,-,-,9,-,5,5,-,1,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
412730,-,5,-,1,-,-,-,-,8,-,1,5,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
412740,2,4,-,1,-,-,-,-,15,-,1,7,-,1,2,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
412750,-,6,1,1,-,-,-,-,-,-,1,4,-,-,1,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
412760,10,1,-,1,-,-,-,-,2,-,1,3,-,1,1,-,-,-,-,-,-,1,-,-,1,-,-,2,-,-,-,-,-,-,-,-,-,-,-
412770,10,18,1,4,-,-,-,-,424,-,40,69,-,3,6,-,-,-,-,-,-,2,1,4,-,-,2,1,-,-,-,-,-,-,-,-,2,-,-
412780,4,1,-,1,-,-,-,-,4,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-
412785,3,1,-,1,-,-,-,-,3,-,2,5,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
412788,-,3,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
412790,2,4,1,1,-,-,-,-,3,-,1,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
412795,2,2,-,1,-,-,-,-,5,-,2,3,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
412796,1,5,-,1,-,-,-,-,1,-,2,2,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
412800,-,11,-,2,-,-,-,-,20,-,14,9,-,1,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
412810,4,22,21,4,1,-,-,-,356,-,111,24,-,3,6,1,-,-,2,-,-,2,1,2,1,-,1,1,-,1,-,-,-,-,-,-,-,-,-
412820,6,13,16,2,1,-,-,-,126,-,3,22,-,1,2,-,-,-,-,-,-,2,1,1,-,-,1,1,-,-,1,-,-,1,-,-,-,-,-
412830,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
412840,1,2,1,1,-,-,-,-,2,-,2,2,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
412853,3,2,-,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
412855,3,1,-,1,-,-,-,-,6,-,3,1,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-
412860,3,1,-,1,-,-,-,-,7,-,1,1,-,-,2,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-
412865,-,2,-,-,-,-,-,-,-,-,-,1,-,-,2,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
412870,-,2,-,-,-,-,-,-,3,-,1,1,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
412850,-,7,1,1,-,-,-,-,9,-,3,3,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-
412880,3,2,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
410000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
420005,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-
420010,-,6,1,1,-,-,-,-,19,-,4,4,1,-,-,-,-,-,-,-,-,1,-,1,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-
420020,1,4,-,1,-,-,-,-,7,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,1,-
420030,-,2,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
420040,-,2,-,1,-,-,-,-,7,-,1,2,-,1,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
420050,-,3,-,-,-,-,-,-,2,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-
420055,-,1,-,-,-,-,-,-,3,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1
420060,-,2,-,-,-,-,-,-,-,-,2,1,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
420070,-,2,-,1,-,-,-,-,3,-,4,2,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
420075,2,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-
420080,1,1,-,-,-,-,-,-,4,-,1,2,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-
420090,2,2,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,1,-
420100,-,2,-,1,-,-,-,-,6,-,1,2,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
420110,-,1,-,1,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
420120,-,2,-,-,-,-,-,-,4,-,3,2,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
420125,-,5,-,-,-,-,-,-,3,-,1,3,-,-,-,1,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-
420127,-,2,1,1,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
420130,6,3,-,-,-,-,-,-,3,-,6,1,-,-,1,-,-,-,-,-,-,1,-,1,-,1,1,-,-,-,-,2,-,-,1,-,-,1,-
420140,2,16,-,1,-,-,-,-,14,-,36,6,-,1,3,-,-,-,-,-,-,1,-,1,-,-,1,2,-,-,-,3,-,-,1,-,-,1,-
420150,-,1,-,1,-,-,-,-,1,-,3,2,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,1,-,-,-,-
420160,-,1,-,1,-,-,-,-,6,-,-,2,-,-,2,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
420165,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
420170,1,2,-,-,-,-,-,-,4,-,-,3,1,1,3,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-
420180,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
420190,-,1,-,-,-,1,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
420195,1,3,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
420205,-,3,1,-,-,-,-,-,2,-,1,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
420200,-,11,6,3,-,-,-,-,36,-,29,21,1,3,-,-,1,-,2,-,-,1,-,2,-,-,2,-,1,1,3,1,-,-,1,-,-,1,1
420207,-,6,-,-,-,-,-,-,-,-,2,-,-,-,2,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-
421280,1,7,-,-,-,-,-,-,31,-,2,1,-,-,-,-,-,-,-,-,-,1,-,1,-,-,1,2,-,-,-,-,-,-,1,-,3,1,-
422000,-,4,-,-,-,-,-,-,1,-,3,1,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,1,1,-,3,-,-
420208,-,1,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
420209,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
420210,3,6,1,-,-,-,-,-,12,-,7,11,1,-,-,-,-,-,-,-,-,1,-,1,-,-,1,3,-,-,-,-,-,-,1,-,-,1,-
420213,-,8,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
420215,-,1,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
420220,-,4,1,1,-,-,-,-,5,-,1,4,1,-,-,1,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-
420230,3,13,4,1,-,-,1,-,25,-,17,9,1,2,1,4,1,-,-,-,-,1,-,1,1,-,1,-,-,-,2,1,-,-,1,-,-,1,1
420240,-,80,3,4,2,-,1,-,730,-,206,59,4,5,4,2,-,-,6,-,-,2,-,3,-,-,-,-,-,1,-,2,-,-,2,-,1,-,3
420243,1,1,-,-,-,-,-,-,2,-,2,1,-,1,3,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
420250,-,1,-,1,-,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
420253,-,1,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
420257,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
420260,1,2,-,1,-,-,-,-,7,-,4,2,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
420245,-,6,1,-,-,-,-,-,3,-,3,1,-,1,1,3,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,1,-
420270,3,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,1,-,-,-,-,-,-,1,-,-,-,-
420280,-,11,1,1,-,-,-,-,36,-,18,9,1,1,1,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,1,-,1,1,-,-,1,-
420285,2,3,-,-,-,-,-,-,2,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
420287,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
420290,-,30,2,3,-,-,-,-,119,-,101,22,1,2,13,-,1,-,1,-,-,2,-,3,-,-,1,2,-,-,-,-,-,1,1,-,-,-,2
420300,12,2,4,1,-,-,-,-,110,-,31,5,2,1,3,-,-,-,1,1,-,1,-,2,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
420310,-,1,-,1,-,-,-,-,7,-,2,3,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
420315,-,3,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
420320,-,11,1,1,1,-,-,-,21,-,8,7,2,2,5,-,-,-,1,-,-,1,-,1,-,-,-,1,-,-,-,3,-,-,1,-,-,1,-
420330,-,4,1,1,-,-,-,-,5,-,-,1,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
420340,2,1,-,1,-,-,-,-,3,-,2,1,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-
420350,-,3,-,1,-,-,-,-,6,-,2,4,1,-,2,-,-,-,-,-,-,1,-,1,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-
420360,2,11,-,1,-,-,-,-,72,-,7,11,-,1,-,-,-,-,-,-,-,2,-,1,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-
420370,-,7,-,1,-,-,-,-,6,-,2,1,-,-,1,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
420380,13,9,3,1,-,-,-,-,97,-,18,12,-,3,3,2,1,-,-,-,-,2,-,1,-,-,1,-,-,-,-,1,-,-,1,-,-,-,-
420325,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-
420390,-,10,-,1,-,-,-,-,57,-,4,5,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
420395,-,10,-,-,-,-,-,-,9,-,4,4,-,-,-,-,-,-,-,-,-,1,-,1,1,-,1,-,-,-,1,-,-,-,1,1,-,-,-
420400,4,1,1,1,-,-,-,-,8,-,2,1,-,1,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
420410,-,1,-,1,-,-,-,-,3,-,2,1,-,-,2,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-
420415,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-
420417,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
420419,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-
420420,-,29,28,2,1,-,1,-,580,-,52,71,2,4,9,-,-,-,3,-,-,2,1,3,-,3,2,-,-,1,2,2,-,-,2,-,1,3,4
420425,1,7,-,-,-,-,-,-,14,-,10,-,-,-,3,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
420430,16,16,2,1,-,-,-,-,182,-,30,13,2,1,4,-,-,-,-,-,-,2,-,1,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-
420435,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
420440,-,3,-,1,-,-,-,-,17,-,2,2,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
420445,-,1,-,-,-,-,-,-,1,-,-,1,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-
420455,3,1,-,1,-,-,-,-,8,-,5,3,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
420450,1,4,-,-,-,-,-,-,15,-,3,1,1,-,7,-,-,-,-,-,-,1,-,-,1,-,1,-,-,-,-,-,-,-,1,-,-,1,-
420460,-,51,6,4,-,-,-,-,423,-,110,45,-,3,7,3,-,-,1,-,-,2,-,4,-,-,2,-,-,1,-,4,-,-,3,-,-,2,-
420470,-,2,-,1,-,-,-,-,15,-,7,5,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
420475,-,1,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
420480,1,10,1,1,-,-,-,-,98,-,13,2,-,2,8,1,-,-,-,-,-,2,-,1,-,-,-,-,-,-,-,1,-,1,1,-,-,-,-
420490,-,3,-,1,-,-,-,-,9,-,2,2,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-
420500,-,6,-,1,-,-,-,-,8,-,3,9,-,2,-,-,-,-,-,-,-,2,-,1,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-
420510,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,1,-,-,1,-,-,-,-,-,-,1,-,-,-,-
420515,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-
420517,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
420519,-,2,-,-,-,-,-,-,1,-,2,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-
420520,-,1,-,-,-,-,-,-,2,-,-,2,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,1,-,-,1,-,-,-,-
420530,-,6,-,1,-,-,-,-,12,-,4,2,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,2,-,-,-,-,-,-,1,-,-,-,-
