municipality,HEALTH CENTER,HEALTH CENTER/BASIC UNIT,POLYCLINIC,GENERAL HOSPITAL,SPECIALIZED HOSPITAL,MIXED UNIT,GENERAL EMERGENCY,SPECIALIZED EMERGENCY,ISOLATED OFFICE,RIVER MOBILE UNIT,CLINIC/SPECIALTY CENTER,DIAGNOSIS AND THERAPY SUPPORT UNIT (ISOLATED SADT),GROUND MOBILE UNIT,PRE-HOSPITAL LEVEL MOBILE UNIT IN THE EMERGENCY AREA,PHARMACY,HEALTH SURVEILLANCE UNIT,COOPERATIVE OR COMPANY FOR ASSIGNMENT OF WORKERS IN HEALTH,NORMAL BIRTH CENTER - ISOLATED,HOSPITAL/DAY - ISOLATED,HEALTH SERVICES REGULATION CENTER,LACEN CENTRAL PUBLIC HEALTH LABORATORY,HEALTH MANAGEMENT CENTER,HEMOTHERAPY AND OR HEMATOLOGY CARE CENTER,PSYCHOSOCIAL CARE CENTER,FAMILY HEALTH SUPPORT CENTER,INDIGENOUS HEALTH CARE UNIT,EMERGENCY SERVICE,HEALTH ACADEMY POLO,TELESSAUDE,EMERGENCY MEDICAL REGULATION CENTER,ISOLATED HOME CARE SERVICE,CARE UNIT IN RESIDENTIAL REGIME,ORTHOPEDIC WORKSHOP,PUBLIC HEALTH LABORATORY,ACCESS REGULATION CENTER,NOTIFICATION CENTER FOR CAPTATION AND DISTRIBUTION OF STATE ORGANIZATIONS,POLO FOR PREVENTION OF DISEASES AND DISEASES AND HEALTH PROMOTION,SUPPLY CENTER,IMMUNIZATION CENTER
130063,1,-,-,1,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
130068,2,1,-,1,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
130070,-,5,1,1,-,-,-,-,2,1,1,1,-,-,-,1,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
130080,-,8,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-
130083,-,4,-,2,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
130090,-,2,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
130100,2,6,-,1,-,-,-,-,-,1,1,2,-,-,-,2,-,-,-,-,-,1,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
130110,-,14,-,1,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-
130115,15,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
130120,-,14,4,1,-,-,-,-,1,1,2,-,-,1,-,2,-,-,-,-,-,1,-,1,-,1,-,-,1,-,-,-,-,1,-,-,-,-,-
130130,8,-,-,1,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
130140,-,4,1,1,-,-,-,-,-,1,2,1,-,-,1,-,-,-,-,-,-,1,-,1,-,2,-,1,-,-,-,-,-,-,-,-,-,-,-
130150,-,3,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
130160,2,-,-,-,-,1,-,-,-,1,-,-,-,1,-,3,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
130165,4,1,-,1,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,1,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-
130170,-,12,4,1,-,-,-,-,9,1,4,-,-,-,1,2,-,-,-,-,-,1,-,1,-,4,-,-,-,-,-,-,-,1,1,-,-,-,-
130180,3,3,-,1,-,-,-,-,-,1,-,-,-,-,1,1,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
130185,-,18,-,1,-,-,-,-,2,1,2,2,-,-,1,2,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
130190,-,15,2,1,-,-,-,-,6,1,6,3,-,2,-,1,1,-,-,-,-,1,-,1,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-
130195,-,2,-,-,-,1,-,-,-,1,-,-,-,-,-,2,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
130200,-,4,-,1,-,-,-,-,-,1,-,1,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
130210,-,4,-,1,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
130220,-,2,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
130230,1,2,-,1,-,-,-,-,-,-,-,1,-,2,1,1,-,-,-,-,-,1,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-
130240,-,6,-,1,-,-,-,-,-,1,3,1,-,-,-,-,-,-,-,-,-,-,-,-,-,15,-,-,-,-,-,-,-,-,-,-,-,-,-
130250,4,16,3,1,-,-,-,-,2,-,-,-,-,2,1,-,-,-,-,-,-,1,-,2,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-
130255,-,3,-,1,-,-,-,-,-,1,1,1,-,-,-,1,-,-,-,-,-,1,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
130260,18,157,52,20,19,-,-,-,658,11,147,69,7,87,2,6,36,-,10,-,-,9,1,4,-,3,13,-,1,6,5,-,-,2,2,3,2,2,-
130270,-,7,-,1,-,-,-,-,-,1,2,-,-,-,3,1,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
130280,1,4,-,1,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-
130290,10,7,-,-,-,1,-,-,1,1,3,1,-,-,1,1,-,-,-,-,-,1,-,1,-,4,-,1,-,-,-,-,-,-,-,-,-,-,-
130300,4,2,-,1,-,-,-,-,-,1,-,1,1,-,1,1,-,-,-,-,-,1,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-
130310,4,7,-,1,-,-,-,-,-,-,-,6,-,-,1,2,-,-,-,-,-,1,-,1,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-
130320,4,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
130330,-,5,-,1,-,-,-,-,-,1,-,1,-,-,-,1,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
130340,-,15,2,2,-,-,-,-,9,1,5,5,1,1,1,3,-,-,-,-,-,1,1,1,-,2,-,-,1,1,-,-,-,-,1,-,-,-,-
130350,-,4,-,-,-,1,-,-,-,1,-,1,-,-,-,1,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
130353,8,14,1,1,-,-,-,-,9,-,2,-,-,2,1,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
130356,6,9,1,1,-,-,-,-,2,-,1,-,-,1,1,1,-,-,-,-,-,1,-,2,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
130360,-,3,-,1,-,-,-,-,-,1,-,-,-,-,1,1,-,-,-,-,-,1,-,-,-,20,-,-,-,-,-,-,-,-,-,-,-,-,-
130370,1,6,1,2,-,-,-,-,1,1,-,-,-,2,-,2,-,-,-,-,-,1,-,-,-,2,-,-,-,-,-,-,-,2,-,-,-,-,-
130380,7,4,-,1,-,2,-,-,1,-,2,1,-,-,1,2,-,-,-,-,-,1,-,1,-,24,-,-,1,-,-,-,-,-,-,-,1,-,-
130390,-,6,-,1,-,-,-,-,-,1,-,1,-,2,-,2,-,-,-,-,-,1,-,1,-,4,-,-,-,-,-,-,-,1,-,-,-,-,-
130395,-,4,-,1,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
